label,text
Dengue,"It all hit me suddenly while I was at work. I had to go home because I developed an extremely high fever and started burning up immediately. Now, my body is aching all over with severe generalized muscle pain. The joint pain is quite bad, leaving me with aching joints and stiff knees. I also have this intense pain behind my eyes that makes my eyes hurt when I move them. To top it all off, I feel nauseous and sick to my stomach every time I sit up in bed."
Dengue,"Since yesterday evening, I have felt incredibly sick and unable to function. I suddenly developed a severe temperature, and I have been burning up with an extremely high fever. It is accompanied by an intense ache in my back and severe muscle pain; my body is aching all over. I had a nosebleed this morning which was quite heavy. I am also feeling completely exhausted and overwhelmingly tired, making it impossible to get out of bed or do anything but sleep through this terrible ordeal."
Typhoid,"For over a week, I've had a fever that gets worse each day. I haven't had a bowel movement, I feel run down, and my pulse feels oddly slow."
Measles,"I'm dealing with a high fever, a non-stop cough, and watery, light-sensitive eyes. The rash started on my scalp and is moving downwards. I'm exhausted and my muscles ache, but I haven't experienced any bleeding gums or bruising."
Pneumonia,My body aches all over and I've been running a temperature non-stop. I keep hacking up rusty mucus. There's a sharp stabbing pain in my chest whenever I take a deep breath.
Influenza,"Since last night, it's painful to swallow. I have a sudden high fever and a bad cough. My head hurts and my body aches are moderate but constant."
Influenza,Hit me suddenly with chills and a sudden high fever. The dry cough is racking my chest. Everything hurts and my head is killing me. It's been severe for a few days now.
Influenza,"Hit me suddenly yesterday with a sudden high fever and a headache. Everything hurts from my neck to my legs. The hacking cough is constant. I'd say it's moderate, but the body aches are incredibly frustrating."
Influenza,"Since last night, I have a runny nose and severe body aches. I'm burning up, have a persistent cough, and am extremely exhausted with zero energy. It is quite a severe bout."
Influenza,"Hit me suddenly with a pounding headache and a sudden high fever. I have severe body aches, a hacking cough, and I'm exhausted. It is an intense, severe illness that leaves me with absolutely no energy."
Influenza,"Started 2 days ago with a scratchy throat and head pain. Now I have a bad cough, my muscles are sore, and I'm burning up with a fever. It is a moderate sickness overall."
Measles,"I have been feeling completely awful since my illness began earlier this week. Initially, I developed this extremely high fever that just kept spiking, along with a bad cough that hurts my chest every time I breathe. At the same time, my nose started running endlessly with clear fluid, and my eyes looked like I had pink eye because they were so red and watery. Then, after several days of this misery, a blotchy red rash showed up. The spots started right at my hairline, and by this morning, I watched them spread downward to cover my entire neck, chest, and torso."
Influenza,"I have been down for 3 days with this. My fever is severe, and I am burning up constantly. I have an extreme hacking cough that leaves me gasping. Everything hurts; my body aches are intense, and my muscles are sore deep down. I feel completely wiped out and have no energy at all. I also have this awful nausea that makes the thought of food repulsive. I am just lying in the dark, waiting for it to end in a few days."
Diarrhea,"My stomach cramps are really painful, started suddenly this morning. I've had bloody diarrhea twice and watery stools twice more. I feel very weak."
Dengue,"Since yesterday, my health has completely crashed. I am battling an extremely high fever, just burning up without any relief. I have an intense ache in my back and severe muscle pain that makes lying down uncomfortable. My head pain is severe, like a tight band around my skull. There is a sharp pain behind my eyes whenever I look at the light. I have been throwing up anything I try to eat. The constant vomiting is leaving me severely dehydrated and desperate for some kind of medical intervention."
Typhoid,"My temperature keeps climbing over the past 5 days. I am dealing with diarrhea, I have absolutely no energy, and I just don't want to eat anything."
Pneumonia,"Over the last few days, I developed a fever and a throbbing headache. I'm coughing up yellow phlegm non-stop. I have difficulty breathing, and my chest has a sharp stabbing pain."
Measles,"A few days ago, I got hit with a high fever and a persistent cough that completely drained my energy. I was dealing with a runny nose that required me to carry a tissue everywhere I went. I assumed it was a severe allergy attack or a bad cold. However, the situation escalated when a blotchy rash appeared behind my ears yesterday. I watched it carefully, and sure enough, it spread downward across my back and torso within twenty-four hours. My eyes have also become extremely watery, sore, and look just like I have pink eye."
Measles,"It started Tuesday with a fever for days, a hacking cough, and my throat is really sore. I assumed it was just a regular bug because I also had constant sniffles and kept going through boxes of tissues. I drank tea to soothe the pain, hoping it would pass quickly. Then, about three days after the coughing started, I looked in the mirror and saw spots that started on my face. By the next evening, I watched as the red blotchy rash spread down my body, reaching my stomach."
Diarrhea,Severe cramping and bloody diarrhea started about 8 hours ago. I feel warm and think I might have a mild fever.
Influenza,"My nose is running, and I have a hacking cough. I am feeling hot and cold, and my muscles are sore. The body aches are severe, making it hard to move. It started 2 days ago and is definitely worse at night time."
Measles,"First I had a fever, then a bad cough and constant sniffles. I also noticed white spots on my inner cheeks like grains of salt. After all that, a red rash broke out on my hairline and is now spreading downward."
Pneumonia,"Feeling freezing cold then sweating with a temperature over the last few days. I keep hacking up yellow phlegm from my chest, and I can't catch my breath at all, especially at night."
Influenza,"This started 2 days ago. I was feeling hot and cold, realizing I had a fever. Since last night, I have had a bad cough. My body aches are quite bad, and my muscles are sore. I also have some nausea that makes me lose my appetite. I have been drinking plenty of fluids, getting as much sleep as possible, and hoping this moderate sickness passes soon so I can get back to my normal daily routine and start eating regular meals again."
Typhoid,"My fever keeps climbing steadily over the past 6 days. I haven't gone in days, my heartbeat is surprisingly slow, and I have a harsh dry cough."
Influenza,"I've been febrile and feeling weak for 3 days. My muscles are sore, my throat hurts, and I have a bad cough. The symptoms are quite bad and the fatigue just comes and goes."
Dengue,"It started 3 days ago with a very high fever, and I have been burning up since. I am suffering from an intense ache in my back and severe muscle pain that makes me feel like I was hit by a truck. Yesterday, I experienced a random nosebleed that took a few minutes to stop. The crushing fatigue means I have no energy at all. I also have really bad joint pain, and my joints are stiff, making every small movement feel like a massive chore."
Typhoid,"I have a fever that won't break for 10 days straight. I have watery bowel movements, my heartbeat is surprisingly slow, and I have a persistent dry cough."
Typhoid,"My primary issue is a persistent fever that gets hotter each day for over a week. My abdomen feels tender, I have no appetite, and I've developed a dry cough."
Dengue,"For 2 days now, I have been unable to leave my room due to this sickness. I am extremely febrile with a severe temperature, and my skin feels like it is burning up. There is an intense ache in my back and severe muscle pain all over my body. To make it worse, I spotted a maculopapular rash forming on my arms and chest. The joint pain is quite bad too; I have severe pain in my knees and elbows. I also feel sick and nauseous whenever I try to eat."
Diarrhea,"Everything started sharply this morning. I have had watery stool 8 times, my stomach is churning, and my urine is very dark. I have a moderate fever and profound weakness."
Measles,The light hurts my eyes and they are bright red. I've developed a high fever with a hacking cough. There is a rash starting on my face that is moving downwards. I'm incredibly fatigued and my muscles hurt.
Influenza,"This illness started 2 days ago. I woke up burning up with a temperature. I have a bad cough that comes and goes. The body aches are mild, but my muscles are sore nonetheless. I also have a pounding headache that bothers me. My nose is running and I have the sniffles. I have been drinking orange juice and staying cozy on the couch. It is a mild annoyance, but I expect to feel much better and return to work very soon."
Diarrhea,My urine output is very low today. I've had watery stools since last night and the stomach cramps are painful.
Pneumonia,I feel very tired and weak. I have a fever and a persistent cough bringing up green phlegm. My breathing is difficult and feels very shallow.
Dengue,"I have been completely bedridden since this started 3 days ago due to this awful illness. I am dealing with an extremely high fever and my skin is just burning up to the touch. Alongside the heat, I am experiencing severe generalized muscle pain; my body is aching all over so intensely that I cannot sleep. Additionally, I have a splitting headache that pounds relentlessly. My joints are stiff and aching, making it hard to move my knees and elbows. The extreme fatigue has left me drained."
Dengue,"My awful symptoms started 3 days ago, and I have not had a moment of relief since then. I am dealing with an extremely high fever, and I just keep burning up uncontrollably. I have severe generalized muscle pain that makes my whole body hurt so much. I have also been feeling sick and nauseous all day, and I keep throwing up whatever I try to eat or drink. To make matters even more alarming, I woke up this morning and noticed that my gums are bleeding quite a bit. I am really worried about this new symptom."
Measles,"I woke up four days ago feeling absolutely awful. I had a high fever, a relentless hacking cough, and a terrible headache that throbbed constantly. My nose was also super runny with constant sniffles that wouldn't clear up. Yesterday, things took a weird turn when a blotchy red rash appeared on my face and near my hairline. Today, the red spots are actively spreading downward, covering my neck, my chest, and my abdomen. I have been taking fever reducers around the clock, but nothing seems to help me feel any better. I am scheduling a doctor's appointment right now."
Influenza,"I feel terrible with a sudden fever and deep muscle pain. I can't stop this dry hacking cough. I felt sick to my stomach and threw up once. Thankfully, I have no sharp pain when I breathe in."
Diarrhea,"I feel very dizzy when standing up, and I haven't peed much today. This started with stomach cramps and loose stools late last night."
Typhoid,"For 10 days, this high temperature won't break and escalates daily. I have stomach cramps, malaise, absolutely no appetite, and I keep coughing but it's completely dry."
Typhoid,"Over the past week, my fever keeps climbing and making me miserable. I have stomach cramps, I feel completely exhausted, and my mind feels foggy all afternoon."
Diarrhea,I've been feeling feverish and warm since yesterday afternoon. I have terrible stomach cramps and I've had watery diarrhea 4 times today.
Dengue,"Since yesterday evening, I have felt incredibly sick and unable to go to work or do anything productive around the house. I suddenly developed a severe temperature, and I have been burning up through the entire night. It is accompanied by an intense ache in my back and severe muscle pain that radiates everywhere; my body is aching all over. Just this morning, when I was brushing my teeth, I realized my gums are bleeding quite a bit. Additionally, I feel quite nauseous and sick to my stomach whenever I try to eat or drink anything."
Pneumonia,"I feel completely wiped out and have a bad fever. Every time I breathe, my chest hurts terribly. I also have a chesty cough that keeps bringing up huge amounts of yellow mucus."
Typhoid,"This high temperature for days keeps escalating. My stomach cramps are tender, I have bad muscle pain, and I noticed rose-colored spots on my stomach."
Pneumonia,"I have a terrible fever and a racking cough pulling up yellow mucus. It got worse today, causing a sharp stabbing pain in my chest, and I really struggle to catch my breath."
Diarrhea,My belly hurts with cramps and I feel nauseous. This started this morning with loose stools every hour or so.
Influenza,"Woke up with a sudden fever and chills. My muscles are hurting so much. I have a dry cough without any phlegm. My head aches terribly and I have an upset stomach, though I haven't vomited yet."
Measles,"This started with a persistent cough, a very high temperature, and a really sore throat. My nose has been dripping clear fluid constantly. Today, a new rash showed up on my face and is already spreading downward to my trunk."
Diarrhea,Dry mouth and feeling thirsty all day. The watery stools started yesterday evening. My stomach is cramping quite a bit.
